provincia,region,anio,mes,casos,periodo
Buenos Aires,Centro,2017,1,70,2017-01
Buenos Aires,Centro,2017,2,58,2017-02
Buenos Aires,Centro,2017,3,66,2017-03
Buenos Aires,Centro,2017,4,72,2017-04
Buenos Aires,Centro,2017,5,58,2017-05
Buenos Aires,Centro,2017,6,54,2017-06
Buenos Aires,Centro,2017,7,84,2017-07
Buenos Aires,Centro,2017,8,115,2017-08
Buenos Aires,Centro,2017,9,111,2017-09
Buenos Aires,Centro,2017,10,88,2017-10
Buenos Aires,Centro,2017,11,119,2017-11
Buenos Aires,Centro,2017,12,96,2017-12
Buenos Aires,Centro,2018,1,109,2018-01
Buenos Aires,Centro,2018,2,103,2018-02
Buenos Aires,Centro,2018,3,104,2018-03
Buenos Aires,Centro,2018,4,102,2018-04
Buenos Aires,Centro,2018,5,105,2018-05
Buenos Aires,Centro,2018,6,86,2018-06
Buenos Aires,Centro,2018,7,98,2018-07
Buenos Aires,Centro,2018,8,101,2018-08
Buenos Aires,Centro,2018,9,123,2018-09
Buenos Aires,Centro,2018,10,115,2018-10
Buenos Aires,Centro,2018,11,109,2018-11
Buenos Aires,Centro,2018,12,154,2018-12
Buenos Aires,Centro,2019,1,107,2019-01
Buenos Aires,Centro,2019,2,104,2019-02
Buenos Aires,Centro,2019,3,94,2019-03
Buenos Aires,Centro,2019,4,71,2019-04
Buenos Aires,Centro,2019,5,46,2019-05
Buenos Aires,Centro,2019,6,47,2019-06
Buenos Aires,Centro,2019,7,84,2019-07
Buenos Aires,Centro,2019,8,55,2019-08
Buenos Aires,Centro,2019,9,82,2019-09
Buenos Aires,Centro,2019,10,64,2019-10
Buenos Aires,Centro,2019,11,63,2019-11
Buenos Aires,Centro,2019,12,72,2019-12
Buenos Aires,Centro,2020,1,64,2020-01
Buenos Aires,Centro,2020,2,64,2020-02
Buenos Aires,Centro,2020,3,38,2020-03
Buenos Aires,Centro,2020,4,55,2020-04
Buenos Aires,Centro,2020,5,61,2020-05
Buenos Aires,Centro,2020,6,51,2020-06
Buenos Aires,Centro,2020,7,58,2020-07
Buenos Aires,Centro,2020,8,72,2020-08
Buenos Aires,Centro,2020,9,49,2020-09
